source;target;onset.censored;terminus.censored;duration;edge.id;onset;terminus
27;68;FALSE;FALSE;1;399;1643;1644
27;56;FALSE;FALSE;1;400;1643;1644
27;53;FALSE;FALSE;1;401;1643;1644
27;56;FALSE;FALSE;1;402;1643;1644
27;56;FALSE;FALSE;1;403;1643;1644
27;21;FALSE;FALSE;1;404;1643;1644
27;56;FALSE;FALSE;1;405;1643;1644
27;55;FALSE;FALSE;1;406;1643;1644
27;66;FALSE;FALSE;1;407;1643;1644
27;53;FALSE;FALSE;1;408;1643;1644
27;53;FALSE;FALSE;1;409;1643;1644
27;56;FALSE;FALSE;1;410;1643;1644
55;27;FALSE;FALSE;1;411;1643;1644
53;27;FALSE;FALSE;1;412;1643;1644
21;27;FALSE;FALSE;1;413;1643;1644
6;27;FALSE;FALSE;1;414;1643;1644
27;84;FALSE;FALSE;1;415;1643;1644
27;53;FALSE;FALSE;1;416;1643;1644
27;66;FALSE;FALSE;1;417;1643;1644
27;6;FALSE;FALSE;1;418;1643;1644
27;21;FALSE;FALSE;1;419;1643;1644
27;53;FALSE;FALSE;1;420;1643;1644
27;87;FALSE;FALSE;1;421;1643;1644
27;9;FALSE;FALSE;1;422;1643;1644
27;21;FALSE;FALSE;1;423;1643;1644
27;53;FALSE;FALSE;1;424;1643;1644
53;27;FALSE;FALSE;1;425;1643;1644
27;81;FALSE;FALSE;1;426;1643;1644
27;53;FALSE;FALSE;1;427;1643;1644
27;44;FALSE;FALSE;1;428;1643;1644
27;70;FALSE;FALSE;1;429;1643;1644
27;70;FALSE;FALSE;1;430;1643;1644
27;70;FALSE;FALSE;1;431;1643;1644
55;27;FALSE;FALSE;1;432;1643;1644
27;53;FALSE;FALSE;1;433;1643;1644
53;27;FALSE;FALSE;1;434;1643;1644
27;87;FALSE;FALSE;1;435;1643;1644
27;68;FALSE;FALSE;1;436;1643;1644
27;55;FALSE;FALSE;1;437;1643;1644
10;27;FALSE;FALSE;1;438;1643;1644
27;53;FALSE;FALSE;1;439;1643;1644
27;66;FALSE;FALSE;1;440;1643;1644
27;70;FALSE;FALSE;1;441;1643;1644
53;27;FALSE;FALSE;1;442;1643;1644
27;66;FALSE;FALSE;1;443;1643;1644
27;70;FALSE;FALSE;1;444;1643;1644
27;56;FALSE;FALSE;1;445;1643;1644
27;55;FALSE;FALSE;1;446;1643;1644
66;27;FALSE;FALSE;1;447;1644;1645
27;70;FALSE;FALSE;1;448;1644;1645
27;70;FALSE;FALSE;1;449;1644;1645
27;70;FALSE;FALSE;1;450;1644;1645
27;82;FALSE;FALSE;1;451;1644;1645
27;70;FALSE;FALSE;1;452;1644;1645
53;27;FALSE;FALSE;1;453;1644;1645
72;27;FALSE;FALSE;1;454;1644;1645
27;53;FALSE;FALSE;1;455;1644;1645
27;87;FALSE;FALSE;1;456;1644;1645
53;27;FALSE;FALSE;1;457;1644;1645
27;68;FALSE;FALSE;1;458;1644;1645
27;70;FALSE;FALSE;1;459;1644;1645
27;43;FALSE;FALSE;1;460;1644;1645
27;68;FALSE;FALSE;1;461;1644;1645
27;57;FALSE;FALSE;1;462;1644;1645
27;2;FALSE;FALSE;1;463;1644;1645
72;27;FALSE;FALSE;1;464;1644;1645
27;66;FALSE;FALSE;1;465;1644;1645
27;63;FALSE;FALSE;1;466;1644;1645
13;27;FALSE;FALSE;1;467;1644;1645
27;87;FALSE;FALSE;1;468;1644;1645
27;68;FALSE;FALSE;1;469;1644;1645
72;27;FALSE;FALSE;1;470;1644;1645
27;66;FALSE;FALSE;1;471;1644;1645
27;68;FALSE;FALSE;1;472;1644;1645
27;68;FALSE;FALSE;1;473;1644;1645
63;27;FALSE;FALSE;1;474;1644;1645
27;18;FALSE;FALSE;1;475;1644;1645
27;30;FALSE;FALSE;1;476;1644;1645
27;8;FALSE;FALSE;1;477;1644;1645
27;12;FALSE;FALSE;1;478;1644;1645
27;68;FALSE;FALSE;1;479;1644;1645
27;53;FALSE;FALSE;1;480;1644;1645
52;27;FALSE;FALSE;1;482;1644;1645
27;53;FALSE;FALSE;1;483;1644;1645
27;57;FALSE;FALSE;1;484;1645;1646
66;27;FALSE;FALSE;1;485;1645;1646
66;27;FALSE;FALSE;1;486;1645;1646
66;27;FALSE;FALSE;1;487;1645;1646
66;27;FALSE;FALSE;1;488;1645;1646
66;27;FALSE;FALSE;1;489;1645;1646
66;27;FALSE;FALSE;1;490;1645;1646
66;27;FALSE;FALSE;1;491;1645;1646
27;33;FALSE;FALSE;1;492;1645;1646
53;27;FALSE;FALSE;1;493;1645;1646
27;2;FALSE;FALSE;1;494;1645;1646
27;20;FALSE;FALSE;1;495;1645;1646
27;57;FALSE;FALSE;1;496;1645;1646
27;18;FALSE;FALSE;1;497;1645;1646
27;57;FALSE;FALSE;1;498;1645;1646
27;30;FALSE;FALSE;1;499;1645;1646
27;8;FALSE;FALSE;1;500;1645;1646
27;68;FALSE;FALSE;1;501;1645;1646
27;53;FALSE;FALSE;1;502;1645;1646
27;68;FALSE;FALSE;1;503;1645;1646
27;20;FALSE;FALSE;1;504;1645;1646
27;16;FALSE;FALSE;1;505;1645;1646
27;20;FALSE;FALSE;1;506;1645;1646
64;27;FALSE;FALSE;1;507;1645;1646
27;57;FALSE;FALSE;1;508;1645;1646
27;66;FALSE;FALSE;1;509;1645;1646
27;2;FALSE;FALSE;1;510;1645;1646
27;70;FALSE;FALSE;1;511;1645;1646
27;66;FALSE;FALSE;1;512;1645;1646
27;2;FALSE;FALSE;1;513;1645;1646
27;64;FALSE;FALSE;1;514;1645;1646
27;66;FALSE;FALSE;1;515;1645;1646
27;68;FALSE;FALSE;1;516;1645;1646
72;27;FALSE;FALSE;1;517;1645;1646
27;72;FALSE;FALSE;1;518;1645;1646
27;72;FALSE;FALSE;1;519;1645;1646
72;27;FALSE;FALSE;1;520;1645;1646
53;27;FALSE;FALSE;1;521;1645;1646
27;2;FALSE;FALSE;1;522;1645;1646
27;66;FALSE;FALSE;1;523;1645;1646
72;27;FALSE;FALSE;1;524;1645;1646
27;68;FALSE;FALSE;1;525;1645;1646
66;27;FALSE;FALSE;1;526;1645;1646
27;87;FALSE;FALSE;1;527;1645;1646
27;53;FALSE;FALSE;1;528;1645;1646
27;66;FALSE;FALSE;1;529;1645;1646
27;66;FALSE;FALSE;1;530;1645;1646
27;66;FALSE;FALSE;1;531;1645;1646
27;66;FALSE;FALSE;1;532;1645;1646
27;87;FALSE;FALSE;1;533;1645;1646
27;87;FALSE;FALSE;1;534;1645;1646
27;16;FALSE;FALSE;1;535;1645;1646
17;27;FALSE;FALSE;1;536;1645;1646
27;66;FALSE;FALSE;1;537;1645;1646
27;46;FALSE;FALSE;1;538;1645;1646
27;66;FALSE;FALSE;1;539;1645;1646
66;27;FALSE;FALSE;1;540;1645;1646
27;7;FALSE;FALSE;1;541;1645;1646
27;20;FALSE;FALSE;1;542;1645;1646
27;68;FALSE;FALSE;1;543;1645;1646
27;7;FALSE;FALSE;1;544;1646;1647
27;7;FALSE;FALSE;1;545;1646;1647
66;27;FALSE;FALSE;1;546;1646;1647
66;27;FALSE;FALSE;1;547;1646;1647
27;53;FALSE;FALSE;1;548;1646;1647
27;66;FALSE;FALSE;1;549;1646;1647
27;20;FALSE;FALSE;1;550;1646;1647
53;27;FALSE;FALSE;1;551;1646;1647
27;20;FALSE;FALSE;1;552;1646;1647
27;56;FALSE;FALSE;1;553;1646;1647
27;56;FALSE;FALSE;1;554;1646;1647
27;20;FALSE;FALSE;1;555;1646;1647
27;17;FALSE;FALSE;1;556;1646;1647
27;53;FALSE;FALSE;1;557;1646;1647
56;27;FALSE;FALSE;1;558;1646;1647
27;15;FALSE;FALSE;1;559;1646;1647
27;56;FALSE;FALSE;1;560;1646;1647
27;56;FALSE;FALSE;1;561;1646;1647
75;27;FALSE;FALSE;1;562;1646;1647
27;66;FALSE;FALSE;1;564;1646;1647
27;66;FALSE;FALSE;1;565;1646;1647
27;68;FALSE;FALSE;1;566;1646;1647
27;15;FALSE;FALSE;1;567;1646;1647
27;20;FALSE;FALSE;1;568;1646;1647
27;15;FALSE;FALSE;1;569;1646;1647
27;87;FALSE;FALSE;1;570;1646;1647
27;17;FALSE;FALSE;1;571;1646;1647
66;27;FALSE;FALSE;1;573;1646;1647
20;27;FALSE;FALSE;1;574;1646;1647
27;66;FALSE;FALSE;1;575;1646;1647
17;27;FALSE;FALSE;1;576;1646;1647
27;20;FALSE;FALSE;1;577;1646;1647
27;18;FALSE;FALSE;1;578;1646;1647
27;67;FALSE;FALSE;1;579;1646;1647
27;21;FALSE;FALSE;1;580;1646;1647
27;56;FALSE;FALSE;1;581;1646;1647
27;56;FALSE;FALSE;1;582;1646;1647
66;27;FALSE;FALSE;1;583;1646;1647
27;56;FALSE;FALSE;1;584;1646;1647
27;66;FALSE;FALSE;1;585;1646;1647
27;67;FALSE;FALSE;1;586;1646;1647
27;17;FALSE;FALSE;1;587;1646;1647
27;75;FALSE;FALSE;1;589;1646;1647
27;56;FALSE;FALSE;1;590;1646;1647
27;68;FALSE;FALSE;1;591;1646;1647
27;15;FALSE;FALSE;1;592;1646;1647
27;20;FALSE;FALSE;1;593;1646;1647
27;56;FALSE;FALSE;1;594;1646;1647
27;16;FALSE;FALSE;1;595;1646;1647
